index,CO,NO2,O3,PM10,PM25,SO2,Clouds,Precipitation,Pressure,Relative Humidity,Temperature,UV Index,Wind Speed,HolidayName,IsHoliday,Accumulated Hours of Rain
120,348.4,16.0,55.0,62.0,10.89,41.0,100,0.0,1022.0,87.0,15.2,0.6,2.0,Ngày thường,False,0
121,319.6,12.3,67.7,51.3,9.08,34.7,79,0.0,1023.0,75.0,16.5,0.7,2.0,Ngày thường,False,0
122,290.8,8.7,80.3,40.7,7.26,28.3,58,0.0,1023.0,64.0,17.7,1.1,2.0,Ngày thường,False,0
123,262.0,5.0,93.0,30.0,5.44,22.0,37,0.0,1023.0,55.0,19.0,1.6,2.0,Ngày thường,False,0
124,250.9,4.3,103.7,28.3,5.12,20.0,81,0.0,1022.0,49.0,19.8,2.7,2.33,Ngày thường,False,0
125,239.9,3.7,114.3,26.7,4.78,18.0,23,0.0,1021.0,44.0,20.5,5.7,2.66,Ngày thường,False,0
126,228.8,3.0,125.0,25.0,4.46,16.0,7,0.0,1020.0,39.0,21.3,6.1,3.0,Ngày thường,False,0
127,226.2,3.0,126.7,26.3,4.62,16.3,13,0.0,1019.0,40.0,21.6,4.7,2.33,Ngày thường,False,0
128,223.7,3.0,128.3,27.7,4.78,16.7,12,0.0,1018.0,41.0,21.9,3.4,1.66,Ngày thường,False,0
129,221.2,3.0,130.0,29.0,4.95,17.0,9,0.0,1018.0,42.0,22.2,2.4,1.0,Ngày thường,False,0
130,300.0,14.0,96.3,84.0,14.68,29.7,15,0.0,1018.0,49.0,20.8,1.9,1.33,Ngày thường,False,0
131,378.8,25.0,62.7,139.0,24.42,42.3,18,0.0,1018.0,57.0,19.3,0.0,1.66,Ngày thường,False,0
132,457.5,36.0,29.0,194.0,34.16,55.0,37,0.0,1019.0,67.0,17.9,0.0,2.0,Ngày thường,False,0
133,488.9,39.7,28.0,204.0,35.89,62.7,50,0.0,1019.0,72.0,17.5,0.0,2.0,Ngày thường,False,0
134,520.2,43.3,27.0,214.0,37.62,70.3,62,0.0,1019.0,78.0,17.1,0.0,2.0,Ngày thường,False,0
135,551.5,47.0,26.0,224.0,39.35,78.0,75,0.0,1020.0,85.0,16.7,0.0,2.0,Ngày thường,False,0
136,545.9,46.7,29.0,214.3,37.62,83.0,79,0.0,1020.0,86.0,16.6,0.0,2.0,Ngày thường,False,0
137,540.2,46.3,32.0,204.7,35.89,88.0,83,0.0,1020.0,87.0,16.5,0.0,2.0,Ngày thường,False,0
138,534.6,46.0,35.0,195.0,34.16,93.0,87,0.0,1020.0,87.0,16.4,0.0,2.0,Ngày thường,False,0
139,536.7,44.3,34.3,191.3,33.49,87.7,62,0.0,1020.0,90.0,15.7,0.0,2.0,Ngày thường,False,0
140,538.9,42.7,33.7,187.7,32.84,82.3,37,0.0,1019.0,92.0,15.1,0.0,2.0,Ngày thường,False,0
141,541.0,41.0,33.0,184.0,32.18,77.0,12,0.0,1018.0,94.0,14.4,0.0,2.0,Ngày thường,False,0
142,536.9,38.7,32.7,180.3,31.6,67.7,29,0.0,1019.0,94.0,14.6,0.0,2.0,Ngày thường,False,0
143,532.8,36.3,32.3,176.7,31.02,58.3,45,0.0,1019.0,94.0,14.7,0.0,2.0,Ngày thường,False,0
144,528.7,34.0,32.0,173.0,30.44,49.0,62,0.0,1020.0,94.0,14.9,1.4,2.0,Ngày thường,False,0
145,445.5,24.3,57.3,129.7,22.85,40.7,70,0.25,1020.0,80.0,16.1,1.7,2.33,Ngày thường,False,1
146,362.2,14.7,82.7,86.3,15.26,32.3,79,0.5,1021.0,67.0,17.2,2.5,2.66,Ngày thường,False,2
147,279.0,5.0,108.0,43.0,7.67,24.0,87,0.75,1021.0,56.0,18.4,3.3,3.0,Ngày thường,False,3
148,265.9,4.3,115.7,40.0,7.1,21.3,66,0.5,1020.0,52.0,19.2,3.9,2.66,Ngày thường,False,4
149,252.9,3.7,123.3,37.0,6.52,18.7,45,0.0,1019.0,47.0,19.9,4.1,2.33,Ngày thường,False,0
150,239.9,3.0,131.0,34.0,5.94,16.0,25,0.0,1018.0,43.0,20.7,4.1,2.0,Ngày thường,False,0
151,237.1,3.0,131.3,35.3,6.19,16.0,41,0.0,1017.0,44.0,21.0,3.3,2.0,Ngày thường,False,0
152,234.4,3.0,131.7,36.7,6.44,16.0,58,0.0,1016.0,44.0,21.3,2.6,2.0,Ngày thường,False,0
153,231.7,3.0,132.0,38.0,6.68,16.0,75,0.0,1015.0,44.0,21.6,2.0,2.0,Ngày thường,False,0
154,294.5,11.7,105.0,79.0,13.94,27.0,79,0.0,1015.0,48.0,20.8,1.3,1.66,Ngày thường,False,0
155,357.4,20.3,78.0,120.0,21.2,38.0,83,0.75,1015.0,52.0,19.9,0.0,1.33,Ngày thường,False,1
156,420.2,29.0,51.0,161.0,28.46,49.0,87,1.0,1015.0,57.0,19.1,0.0,1.0,Ngày thường,False,2
157,456.0,33.0,47.7,174.0,30.69,57.0,87,0.0,1016.0,64.0,18.8,0.0,1.16,Ngày thường,False,0
158,491.8,37.0,44.3,187.0,32.92,65.0,87,0.5,1016.0,71.0,18.5,0.0,1.33,Ngày thường,False,1
159,527.6,41.0,41.0,200.0,35.14,73.0,87,0.5,1017.0,80.0,18.2,0.0,1.5,Ngày thường,False,2
160,574.8,45.0,36.0,216.3,37.95,85.0,91,0.0,1017.0,80.0,17.8,0.0,1.66,Ngày thường,False,0
161,622.1,49.0,31.0,232.7,40.76,97.0,95,0.0,1016.0,80.0,17.4,0.0,1.83,Ngày thường,False,0
162,669.4,53.0,26.0,249.0,43.56,109.0,100,0.0,1016.0,81.0,17.0,0.0,2.0,Ngày thường,False,0
163,700.9,53.0,24.0,255.3,44.72,101.7,100,0.0,1016.0,83.0,16.8,0.0,1.66,Ngày thường,False,0
164,732.4,53.0,22.0,261.7,45.87,94.3,100,0.75,1015.0,85.0,16.5,0.0,1.33,Ngày thường,False,1
165,763.9,53.0,20.0,268.0,47.02,87.0,100,2.0,1015.0,87.0,16.3,0.0,1.0,Ngày thường,False,2
166,757.1,48.7,20.0,258.7,45.37,75.3,100,2.75,1016.0,88.0,16.1,0.0,1.33,Ngày thường,False,3
167,750.3,44.3,20.0,249.3,43.73,63.7,100,2.25,1016.0,89.0,15.9,0.0,1.66,Ngày thường,False,4
168,743.5,40.0,20.0,240.0,42.08,52.0,100,2.0,1017.0,90.0,15.7,0.6,2.0,Ngày thường,False,5
169,602.1,28.7,55.3,178.0,31.27,42.7,91,3.25,1017.0,90.0,15.9,0.7,2.33,Ngày thường,False,6
170,460.7,17.3,90.7,116.0,20.46,33.3,83,2.5,1017.0,91.0,16.0,1.0,2.66,Ngày thường,False,7
171,319.2,6.0,126.0,54.0,9.65,24.0,75,1.5,1018.0,91.0,16.2,1.8,3.0,Ngày thường,False,8
172,296.7,5.0,125.3,47.0,8.33,20.0,83,1.75,1017.0,87.0,16.5,2.6,2.66,Ngày thường,False,9
173,274.1,4.0,124.7,40.0,7.01,16.0,91,1.75,1017.0,83.0,16.7,2.2,2.33,Ngày thường,False,10
174,251.5,3.0,124.0,33.0,5.69,12.0,100,1.25,1016.0,79.0,17.0,3.2,2.0,Ngày thường,False,11
175,272.5,6.0,110.0,49.3,8.58,16.3,100,0.0,1016.0,78.0,17.2,2.0,2.0,Ngày thường,False,0
176,293.6,9.0,96.0,65.7,11.47,20.7,100,0.0,1015.0,77.0,17.4,1.5,2.0,Ngày thường,False,0
177,314.6,12.0,82.0,82.0,14.36,25.0,100,0.0,1014.0,75.0,17.6,0.9,2.0,Ngày thường,False,0
